iter	Passed	Remaining
718	1315	148
719	1316	146
720	1318	144
721	1319	142
722	1321	140
723	1322	138
724	1324	137
725	1326	135
726	1327	133
727	1329	131
728	1330	129
729	1332	127
730	1333	125
731	1335	124
732	1337	122
733	1338	120
734	1340	118
735	1341	116
736	1343	114
737	1344	112
738	1346	111
739	1347	109
740	1349	107
741	1351	105
742	1352	103
743	1354	101
744	1355	100
745	1357	98
746	1358	96
747	1360	94
748	1361	92
749	1363	90
750	1365	89
751	1366	87
752	1368	85
753	1369	83
754	1371	81
755	1373	79
756	1374	78
757	1376	76
758	1377	74
759	1379	72
760	1381	70
761	1382	68
762	1384	67
763	1385	65
764	1387	63
765	1388	61
766	1390	59
767	1391	57
768	1393	56
769	1395	54
770	1396	52
771	1398	50
772	1399	48
773	1401	47
774	1403	45
775	1404	43
776	1406	41
777	1407	39
778	1409	37
779	1410	36
780	1412	34
781	1414	32
782	1415	30
783	1417	28
784	1418	27
785	1420	25
786	1421	23
787	1423	21
788	1424	19
789	1426	18
790	1428	16
791	1429	14
792	1431	12
793	1432	10
794	1434	9
795	1435	7
796	1437	5
797	1438	3
798	1440	1
799	1442	0
